Variable name,Description,Measurement unit,Allowed values
LC_delta_experience3,delta power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_experience4,delta power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_induction1,delta power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_induction2,delta power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_induction3,delta power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_induction4,delta power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_baseline1,gamma power at the first baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_baseline2,gamma power at the second baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_experience1,gamma power at the experience section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_experience2,gamma power at the experience section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_experience3,gamma power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_experience4,gamma power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_induction1,gamma power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_induction2,gamma power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_induction3,gamma power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_gamma_induction4,gamma power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_baseline1,theta power at the first baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_baseline2,theta power at the second baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_experience1,theta power at the experience section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_experience2,theta power at the experience section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_experience3,theta power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_experience4,theta power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_induction1,theta power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_induction2,theta power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_induction3,theta power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_induction4,theta power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_baseline1,alpha power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_baseline2,alpha power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_experience1,alpha power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_experience2,alpha power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_experience3,alpha power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_experience4,alpha power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_induction1,alpha power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_induction2,alpha power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_induction3,alpha power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_induction4,alpha power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_baseline1,beta power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_baseline2,beta power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_experience1,beta power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_experience2,beta power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_experience3,beta power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_experience4,beta power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_induction1,beta power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_induction2,beta power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_induction3,beta power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_induction4,beta power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_baseline1,delta power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_baseline2,delta power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_experience1,delta power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_experience2,delta power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_experience3,delta power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_experience4,delta power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_induction1,delta power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_induction2,delta power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_induction3,delta power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_induction4,delta power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_baseline1,gamma power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_baseline2,gamma power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_experience1,gamma power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_experience2,gamma power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_experience3,gamma power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_experience4,gamma power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_induction1,gamma power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_induction2,gamma power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_induction3,gamma power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_gamma_induction4,gamma power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_baseline1,theta power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_baseline2,theta power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_experience1,theta power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_experience2,theta power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_experience3,theta power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_experience4,theta power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_induction1,theta power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_induction2,theta power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_induction3,theta power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_induction4,theta power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_baseline1,alpha power at the first baseline of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_baseline2,alpha power at the second baseline of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_experience1,alpha power at the experience section of trial one of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_experience2,alpha power at the experience section of trial two of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_experience3,alpha power at the experience section of trial three of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_experience4,alpha power at the experience section of trial four of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_induction1,alpha power at the induction section of trial one of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_induction2,alpha power at the induction section of trial two of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_induction3,alpha power at the induction section of trial three of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_alpha_induction4,alpha power at the induction section of trial four of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_baseline1,beta power at the first baseline of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_baseline2,beta power at the second baseline of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_experience1,beta power at the experience section of trial one of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_experience2,beta power at the experience section of trial two of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_experience3,beta power at the experience section of trial three of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_experience4,beta power at the experience section of trial four of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_induction1,beta power at the induction section of trial one of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_induction2,beta power at the induction section of trial two of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_induction3,beta power at the induction section of trial three of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_beta_induction4,beta power at the induction section of trial four of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_baseline1,delta power at the first baseline of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_baseline2,delta power at the second baseline of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_experience1,delta power at the experience section of trial one of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_experience2,delta power at the experience section of trial two of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_experience3,delta power at the experience section of trial three of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_experience4,delta power at the experience section of trial four of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_induction1,delta power at the induction section of trial one of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_induction2,delta power at the induction section of trial two of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_induction3,delta power at the induction section of trial three of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_delta_induction4,delta power at the induction section of trial four of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_gamma_baseline1,gamma power at the first baseline of the study averaged across left occipital channels.,,
LO_gamma_baseline2,gamma power at the second baseline of the study averaged across left occipital channels.,,
LO_gamma_experience1,gamma power at the experience section of trial one of the study averaged across left occipital channels.,,
LO_gamma_experience2,gamma power at the experience section of trial two of the study averaged across left occipital channels.,,
LO_gamma_experience3,gamma power at the experience section of trial three of the study averaged across left occipital channels.,,
LO_gamma_experience4,gamma power at the experience section of trial four of the study averaged across left occipital channels.,,
LO_gamma_induction1,gamma power at the induction section of trial one of the study averaged across left occipital channels.,,
LO_gamma_induction2,gamma power at the induction section of trial two of the study averaged across left occipital channels.,,
LO_gamma_induction3,gamma power at the induction section of trial three of the study averaged across left occipital channels.,,
LO_gamma_induction4,delta power at the induction section of trial four of the study averaged across left occipital channels.,,
LO_theta_baseline1,theta power at the first baseline of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_baseline2,theta power at the second baseline of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_experience1,theta power at the experience section of trial one of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_experience2,theta power at the experience section of trial two of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_experience3,theta power at the experience section of trial three of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_experience4,theta power at the experience section of trial four of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_induction1,theta power at the induction section of trial one of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_induction2,theta power at the induction section of trial two of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_induction3,theta power at the induction section of trial three of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LO_theta_induction4,theta power at the induction section of trial four of the study averaged across left occipital channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_baseline1,alpha power at the first baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_baseline2,alpha power at the second baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_experience1,alpha power at the experience section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_experience2,alpha power at the experience section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_experience3,alpha power at the experience section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_experience4,alpha power at the experience section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_induction1,alpha power at the induction section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_induction2,alpha power at the induction section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_induction3,alpha power at the induction section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_alpha_induction4,alpha power at the induction section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_baseline1,beta power at the first baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_baseline2,beta power at the second baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_experience1,beta power at the experience section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_experience2,beta power at the experience section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_experience3,beta power at the experience section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_experience4,beta power at the experience section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_induction1,beta power at the induction section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_induction2,beta power at the induction section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_induction3,beta power at the induction section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_beta_induction4,beta power at the induction section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_baseline1,delta power at the first baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_baseline2,delta power at the second baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_experience1,delta power at the experience section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_experience2,delta power at the experience section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_experience3,delta power at the experience section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_experience4,delta power at the experience section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_induction1,delta power at the induction section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_induction2,delta power at the induction section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_induction3,delta power at the induction section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_induction4,delta power at the induction section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_gamma_baseline1,gamma power at the first baseline of the study averaged across left parietal channels.,,
LP_gamma_baseline2,gamma power at the second baseline of the study averaged across left parietal channels.,,
LP_gamma_experience1,gamma power at the experience section of trial one of the study averaged across left parietal channels.,,
LP_gamma_experience2,gamma power at the experience section of trial two of the study averaged across left parietal channels.,,
LP_gamma_experience3,gamma power at the experience section of trial three of the study averaged across left parietal channels.,,
LP_gamma_experience4,gamma power at the experience section of trial four of the study averaged across left parietal channels.,,
LP_gamma_induction1,gamma power at the induction section of trial one of the study averaged across left parietal channels.,,
LP_gamma_induction2,gamma power at the induction section of trial two of the study averaged across left parietal channels.,,
LP_gamma_induction3,gamma power at the induction section of trial three of the study averaged across left parietal channels.,,
LP_gamma_induction4,gamma power at the induction section of trial four of the study averaged across left parietal channels.,,
LP_theta_baseline1,theta power at the first baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_baseline2,theta power at the second baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_experience1,theta power at the experience section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_experience2,theta power at the experience section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_experience3,theta power at the experience section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_experience4,theta power at the experience section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_induction1,theta power at the induction section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_induction2,theta power at the induction section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_induction3,theta power at the induction section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_induction4,theta power at the induction section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_baseline1,alpha power at the first baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_baseline2,alpha power at the second baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_experience1,alpha power at the experience section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_experience2,alpha power at the experience section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_experience3,alpha power at the experience section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_experience4,alpha power at the experience section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_induction1,alpha power at the induction section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_induction2,alpha power at the induction section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_induction3,alpha power at the induction section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_alpha_induction4,alpha power at the induction section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_baseline1,beta power at the first baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_baseline2,beta power at the second baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_experience1,beta power at the experience section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_experience2,beta power at the experience section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_experience3,beta power at the experience section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_experience4,beta power at the experience section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_induction1,beta power at the induction section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_induction2,beta power at the induction section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_induction3,beta power at the induction section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_beta_induction4,beta power at the induction section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_baseline1,delta power at the first baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_baseline2,delta power at the second baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_experience1,delta power at the experience section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_experience2,delta power at the experience section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_experience3,delta power at the experience section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_experience4,delta power at the experience section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_induction1,delta power at the induction section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_induction2,delta power at the induction section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_induction3,delta power at the induction section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_delta_induction4,delta power at the induction section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_baseline1,gamma power at the first baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_baseline2,gamma power at the second baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_experience1,gamma power at the experience section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_experience2,gamma power at the experience section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_experience3,gamma power at the experience section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_experience4,gamma power at the experience section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_induction1,gamma power at the induction section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_induction2,gamma power at the induction section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_induction3,gamma power at the induction section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_gamma_induction4,gamma power at the induction section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_baseline1,theta power at the first baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_baseline2,theta power at the second baseline of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_experience1,theta power at the experience section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_experience2,theta power at the experience section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_experience3,theta power at the experience section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_experience4,theta power at the experience section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_induction1,theta power at the induction section of trial one of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_induction2,theta power at the induction section of trial two of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_induction3,theta power at the induction section of trial three of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
OZ_theta_induction4,theta power at the induction section of trial four of the study averaged across occipital midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_baseline1,alpha power at the first baseline of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_baseline2,alpha power at the second baseline of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_experience1,alpha power at the experience section of trial one of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_experience2,alpha power at the experience section of trial two of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_experience3,alpha power at the experience section of trial three of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_experience4,alpha power at the experience section of trial four of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_induction1,alpha power at the induction section of trial one of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_induction2,alpha power at the induction section of trial two of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_induction3,alpha power at the induction section of trial three of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_alpha_induction4,alpha power at the induction section of trial four of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_beta_baseline1,beta power at the first baseline of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_beta_baseline2,beta power at the second baseline of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_beta_experience1,beta power at the experience section of trial one of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
PZ_beta_experience2,beta power at the experience section of trial two of the study averaged across parietal midline channels.,numeric,Absolute power values of eeg signals in microvolts
